date,region,state,cases,deaths
2020-02-25,Centro-Oeste,DF,0.0,0
2020-02-25,Centro-Oeste,GO,0.0,0
2020-02-25,Centro-Oeste,MS,0.0,0
2020-02-25,Centro-Oeste,MT,0.0,0
2020-02-25,Nordeste,AL,0.0,0
2020-02-25,Nordeste,BA,0.0,0
2020-02-25,Nordeste,CE,0.0,0
2020-02-25,Nordeste,MA,0.0,0
2020-02-25,Nordeste,PB,0.0,0
2020-02-25,Nordeste,PE,0.0,0
2020-02-25,Nordeste,PI,0.0,0
2020-02-25,Nordeste,RN,0.0,0
2020-02-25,Nordeste,SE,0.0,0
2020-02-25,Norte,AC,0.0,0
2020-02-25,Norte,AM,0.0,0
2020-02-25,Norte,AP,0.0,0
2020-02-25,Norte,PA,0.0,0
2020-02-25,Norte,RO,0.0,0
2020-02-25,Norte,RR,0.0,0
2020-02-25,Norte,TO,0.0,0
2020-02-25,Sudeste,ES,0.0,0
2020-02-25,Sudeste,MG,0.0,0
2020-02-25,Sudeste,RJ,0.0,0
2020-02-25,Sudeste,SP,0.0,0
2020-02-25,Sul,PR,0.0,0
2020-02-25,Sul,RS,0.0,0
2020-02-25,Sul,SC,0.0,0
2020-02-26,Centro-Oeste,DF,0.0,0
2020-02-26,Centro-Oeste,GO,0.0,0
2020-02-26,Centro-Oeste,MS,0.0,0
2020-02-26,Centro-Oeste,MT,0.0,0
2020-02-26,Nordeste,AL,0.0,0
2020-02-26,Nordeste,BA,0.0,0
2020-02-26,Nordeste,CE,0.0,0
2020-02-26,Nordeste,MA,0.0,0
2020-02-26,Nordeste,PB,0.0,0
2020-02-26,Nordeste,PE,0.0,0
2020-02-26,Nordeste,PI,0.0,0
2020-02-26,Nordeste,RN,0.0,0
2020-02-26,Nordeste,SE,0.0,0
2020-02-26,Norte,AC,0.0,0
2020-02-26,Norte,AM,0.0,0
2020-02-26,Norte,AP,0.0,0
2020-02-26,Norte,PA,0.0,0
2020-02-26,Norte,RO,0.0,0
2020-02-26,Norte,RR,0.0,0
2020-02-26,Norte,TO,0.0,0
2020-02-26,Sudeste,ES,0.0,0
2020-02-26,Sudeste,MG,0.0,0
2020-02-26,Sudeste,RJ,0.0,0
2020-02-26,Sudeste,SP,1.0,0
2020-02-26,Sul,PR,0.0,0
2020-02-26,Sul,RS,0.0,0
2020-02-26,Sul,SC,0.0,0
2020-02-27,Centro-Oeste,DF,0.0,0
2020-02-27,Centro-Oeste,GO,0.0,0
2020-02-27,Centro-Oeste,MS,0.0,0
2020-02-27,Centro-Oeste,MT,0.0,0
2020-02-27,Nordeste,AL,0.0,0
2020-02-27,Nordeste,BA,0.0,0
2020-02-27,Nordeste,CE,0.0,0
2020-02-27,Nordeste,MA,0.0,0
2020-02-27,Nordeste,PB,0.0,0
2020-02-27,Nordeste,PE,0.0,0
2020-02-27,Nordeste,PI,0.0,0
2020-02-27,Nordeste,RN,0.0,0
2020-02-27,Nordeste,SE,0.0,0
2020-02-27,Norte,AC,0.0,0
2020-02-27,Norte,AM,0.0,0
2020-02-27,Norte,AP,0.0,0
2020-02-27,Norte,PA,0.0,0
2020-02-27,Norte,RO,0.0,0
2020-02-27,Norte,RR,0.0,0
2020-02-27,Norte,TO,0.0,0
2020-02-27,Sudeste,ES,0.0,0
2020-02-27,Sudeste,MG,0.0,0
2020-02-27,Sudeste,RJ,0.0,0
2020-02-27,Sudeste,SP,1.0,0
2020-02-27,Sul,PR,0.0,0
2020-02-27,Sul,RS,0.0,0
2020-02-27,Sul,SC,0.0,0
2020-02-28,Centro-Oeste,DF,0.0,0
2020-02-28,Centro-Oeste,GO,0.0,0
2020-02-28,Centro-Oeste,MS,0.0,0
2020-02-28,Centro-Oeste,MT,0.0,0
2020-02-28,Nordeste,AL,0.0,0
2020-02-28,Nordeste,BA,0.0,0
2020-02-28,Nordeste,CE,0.0,0
2020-02-28,Nordeste,MA,0.0,0
2020-02-28,Nordeste,PB,0.0,0
2020-02-28,Nordeste,PE,0.0,0
2020-02-28,Nordeste,PI,0.0,0
2020-02-28,Nordeste,RN,0.0,0
2020-02-28,Nordeste,SE,0.0,0
2020-02-28,Norte,AC,0.0,0
2020-02-28,Norte,AM,0.0,0
2020-02-28,Norte,AP,0.0,0
2020-02-28,Norte,PA,0.0,0
2020-02-28,Norte,RO,0.0,0
2020-02-28,Norte,RR,0.0,0
2020-02-28,Norte,TO,0.0,0
2020-02-28,Sudeste,ES,0.0,0
2020-02-28,Sudeste,MG,0.0,0
2020-02-28,Sudeste,RJ,0.0,0
2020-02-28,Sudeste,SP,1.0,0
2020-02-28,Sul,PR,0.0,0
2020-02-28,Sul,RS,0.0,0
2020-02-28,Sul,SC,0.0,0
2020-02-29,Centro-Oeste,DF,0.0,0
2020-02-29,Centro-Oeste,GO,0.0,0
2020-02-29,Centro-Oeste,MS,0.0,0
2020-02-29,Centro-Oeste,MT,0.0,0
2020-02-29,Nordeste,AL,0.0,0
2020-02-29,Nordeste,BA,0.0,0
2020-02-29,Nordeste,CE,0.0,0
2020-02-29,Nordeste,MA,0.0,0
2020-02-29,Nordeste,PB,0.0,0
2020-02-29,Nordeste,PE,0.0,0
2020-02-29,Nordeste,PI,0.0,0
2020-02-29,Nordeste,RN,0.0,0
2020-02-29,Nordeste,SE,0.0,0
2020-02-29,Norte,AC,0.0,0
2020-02-29,Norte,AM,0.0,0
2020-02-29,Norte,AP,0.0,0
2020-02-29,Norte,PA,0.0,0
2020-02-29,Norte,RO,0.0,0
2020-02-29,Norte,RR,0.0,0
2020-02-29,Norte,TO,0.0,0
2020-02-29,Sudeste,ES,0.0,0
2020-02-29,Sudeste,MG,0.0,0
2020-02-29,Sudeste,RJ,0.0,0
2020-02-29,Sudeste,SP,2.0,0
2020-02-29,Sul,PR,0.0,0
2020-02-29,Sul,RS,0.0,0
2020-02-29,Sul,SC,0.0,0
2020-03-01,Centro-Oeste,DF,0.0,0
2020-03-01,Centro-Oeste,GO,0.0,0
2020-03-01,Centro-Oeste,MS,0.0,0
2020-03-01,Centro-Oeste,MT,0.0,0
2020-03-01,Nordeste,AL,0.0,0
2020-03-01,Nordeste,BA,0.0,0
2020-03-01,Nordeste,CE,0.0,0
2020-03-01,Nordeste,MA,0.0,0
2020-03-01,Nordeste,PB,0.0,0
2020-03-01,Nordeste,PE,0.0,0
2020-03-01,Nordeste,PI,0.0,0
2020-03-01,Nordeste,RN,0.0,0
2020-03-01,Nordeste,SE,0.0,0
2020-03-01,Norte,AC,0.0,0
2020-03-01,Norte,AM,0.0,0
2020-03-01,Norte,AP,0.0,0
2020-03-01,Norte,PA,0.0,0
2020-03-01,Norte,RO,0.0,0
2020-03-01,Norte,RR,0.0,0
2020-03-01,Norte,TO,0.0,0
2020-03-01,Sudeste,ES,0.0,0
2020-03-01,Sudeste,MG,0.0,0
2020-03-01,Sudeste,RJ,0.0,0
2020-03-01,Sudeste,SP,2.0,0
2020-03-01,Sul,PR,0.0,0
2020-03-01,Sul,RS,0.0,0
2020-03-01,Sul,SC,0.0,0
2020-03-02,Centro-Oeste,DF,0.0,0
2020-03-02,Centro-Oeste,GO,0.0,0
2020-03-02,Centro-Oeste,MS,0.0,0
2020-03-02,Centro-Oeste,MT,0.0,0
2020-03-02,Nordeste,AL,0.0,0
2020-03-02,Nordeste,BA,0.0,0
2020-03-02,Nordeste,CE,0.0,0
2020-03-02,Nordeste,MA,0.0,0
2020-03-02,Nordeste,PB,0.0,0
2020-03-02,Nordeste,PE,0.0,0
2020-03-02,Nordeste,PI,0.0,0
2020-03-02,Nordeste,RN,0.0,0
2020-03-02,Nordeste,SE,0.0,0
2020-03-02,Norte,AC,0.0,0
2020-03-02,Norte,AM,0.0,0
2020-03-02,Norte,AP,0.0,0
2020-03-02,Norte,PA,0.0,0
2020-03-02,Norte,RO,0.0,0
2020-03-02,Norte,RR,0.0,0
2020-03-02,Norte,TO,0.0,0
2020-03-02,Sudeste,ES,0.0,0
2020-03-02,Sudeste,MG,0.0,0
2020-03-02,Sudeste,RJ,0.0,0
2020-03-02,Sudeste,SP,2.0,0
2020-03-02,Sul,PR,0.0,0
2020-03-02,Sul,RS,0.0,0
2020-03-02,Sul,SC,0.0,0
2020-03-03,Centro-Oeste,DF,0.0,0
2020-03-03,Centro-Oeste,GO,0.0,0
2020-03-03,Centro-Oeste,MS,0.0,0
2020-03-03,Centro-Oeste,MT,0.0,0
2020-03-03,Nordeste,AL,0.0,0
2020-03-03,Nordeste,BA,0.0,0
2020-03-03,Nordeste,CE,0.0,0
2020-03-03,Nordeste,MA,0.0,0
2020-03-03,Nordeste,PB,0.0,0
2020-03-03,Nordeste,PE,0.0,0
2020-03-03,Nordeste,PI,0.0,0
2020-03-03,Nordeste,RN,0.0,0
2020-03-03,Nordeste,SE,0.0,0
2020-03-03,Norte,AC,0.0,0
2020-03-03,Norte,AM,0.0,0
2020-03-03,Norte,AP,0.0,0
2020-03-03,Norte,PA,0.0,0
2020-03-03,Norte,RO,0.0,0
2020-03-03,Norte,RR,0.0,0
2020-03-03,Norte,TO,0.0,0
2020-03-03,Sudeste,ES,0.0,0
2020-03-03,Sudeste,MG,0.0,0
2020-03-03,Sudeste,RJ,0.0,0
2020-03-03,Sudeste,SP,2.0,0
2020-03-03,Sul,PR,0.0,0
2020-03-03,Sul,RS,0.0,0
2020-03-03,Sul,SC,0.0,0
2020-03-04,Centro-Oeste,DF,0.0,0
2020-03-04,Centro-Oeste,GO,0.0,0
2020-03-04,Centro-Oeste,MS,0.0,0
2020-03-04,Centro-Oeste,MT,0.0,0
2020-03-04,Nordeste,AL,0.0,0
2020-03-04,Nordeste,BA,0.0,0
2020-03-04,Nordeste,CE,0.0,0
2020-03-04,Nordeste,MA,0.0,0
2020-03-04,Nordeste,PB,0.0,0
2020-03-04,Nordeste,PE,0.0,0
2020-03-04,Nordeste,PI,0.0,0
2020-03-04,Nordeste,RN,0.0,0
2020-03-04,Nordeste,SE,0.0,0
2020-03-04,Norte,AC,0.0,0
2020-03-04,Norte,AM,0.0,0
2020-03-04,Norte,AP,0.0,0
2020-03-04,Norte,PA,0.0,0
2020-03-04,Norte,RO,0.0,0
2020-03-04,Norte,RR,0.0,0
2020-03-04,Norte,TO,0.0,0
